x y
196.997625367603 1399.3825239922967
392.45747650393196 1188.3771836568244
1409.4876990246178 193.8694517265566
714.7049539216016 804.1679464523559
702.168844304983 791.9493764428962
698.9085082570465 799.2218345213166
1517.899708780534 511.34719468504335
1398.0581015304977 210.153211256629
1290.8714312885406 1115.2968744012132
1501.0128598426045 517.9852765802984
413.7109799009803 1202.4565525539074
1307.0314906183214 1106.3784543179406
1300.6851415273923 1085.9208984845934
1491.7913455953085 510.8182794645413
1387.6680670635692 207.61120578573195
611.0318329608926 693.3033198623326
409.8191635473603 1209.8152701863257
1292.2904144571933 1102.2089379410295
1190.366783537993 1293.0180934994803
595.0741505737639 701.5125236355071
1293.5140397286889 1097.392313662955
202.62399490672098 1401.381302058529
704.7561643762097 791.8900366734065
692.8947161592 811.6497539560223
1309.4252463887578 1110.5631435909102
1199.7073776728714 1287.6796738289195
1514.2616993081906 509.674144208788
1397.1657513808889 208.35205564020396
198.41814115378745 1405.934788649973
607.7284203731576 708.4767386732501
708.726197264606 804.788302067212
585.3765114050266 700.7085599019836
394.8247043545225 1211.8560394443439
201.45020979661365 1397.3960346466663
1506.8636126077463 508.69122110482095
1302.37001638189 1091.3213717796045
1192.4058033962547 1306.1103169303044
192.07772951180928 1411.6322010994118
592.3045042635424 689.9753024459982
591.3981963342214 702.2080583026365
678.2866548103805 801.3759837938742
390.3279769906559 1195.3833911185648
1296.8912142424815 1091.9315578808885
411.15064059195976 1195.4961201737176
209.12352517938584 1390.560459982204
1200.207147267306 1297.372802392706
1405.948797500369 198.813326811965
712.1301620579999 784.2010646475424
1383.5503085345877 191.91090054696855
606.6610707688812 695.4751137125485
1194.0380917133639 1305.9629045398983
613.1533541296499 708.0048609142651
201.8260760263907 1390.2754445330556
1208.2392970830933 1296.2842476553199
1393.8604443861516 195.05488837609224
1492.601149448027 511.03431408152215
1206.5262353104717 1297.541961856145
1303.322432874458 1099.3278586043116
1183.7036228209638 1289.5073586089873
1508.5688983998132 483.0861144221011
710.420731038886 795.5710006956676
182.28415265987243 1411.2305030374787
1499.1667606943256 498.5814467304944
1413.791419921545 198.63779134086724
219.005891527881 1412.0747840549927
392.4452900602596 1216.248153797481
602.9794036036806 704.58658057697
701.5084009501958 814.2118733555321
1180.0796047632816 1295.536664720036
1411.6537026818971 193.41111730247044
393.2277773352107 1188.438938593178
1277.6362871396905 1096.554609411862
1487.492959585465 498.0638340121627
1192.5739031823985 1309.2089958316888
385.5911864131257 1204.6991785251541
1411.519801874235 198.90832627129
204.6966337305242 1393.0331649346438
593.5410439057365 690.2660872779252
389.2906786552779 1191.4003869163987
1501.4632850972423 497.35787792937356
